side,price,size,time
buy,9099.15,0.0015,2018-04-24T04:24:04.417Z
buy,9066.15,0.0,2018-04-24T04:24:04.430Z
buy,9197.63,2.3475,2018-04-24T04:24:04.439Z
buy,9165.01,0.0,2018-04-24T04:24:04.459Z
buy,9132.01,0.0015,2018-04-24T04:24:04.485Z
buy,9099.15,0.0,2018-04-24T04:24:04.505Z
sell,9213.0,0.00275,2018-04-24T04:24:04.511Z
buy,9198.02,0.0015,2018-04-24T04:24:04.515Z
buy,9132.01,0.0,2018-04-24T04:24:04.541Z
buy,9197.63,2.346,2018-04-24T04:24:04.557Z
buy,9066.15,0.0015,2018-04-24T04:24:04.567Z
buy,9165.01,0.0015,2018-04-24T04:24:04.588Z
buy,9198.02,0.0,2018-04-24T04:24:04.598Z
buy,9099.15,0.0015,2018-04-24T04:24:04.602Z
buy,9165.01,0.0,2018-04-24T04:24:04.637Z
sell,9227.5,2.0704072,2018-04-24T04:24:04.639Z
buy,9132.01,0.0015,2018-04-24T04:24:04.657Z
buy,9066.15,0.0,2018-04-24T04:24:04.665Z
buy,9198.02,0.0015,2018-04-24T04:24:04.698Z
buy,9165.01,0.0015,2018-04-24T04:24:04.706Z
buy,9132.01,0.0,2018-04-24T04:24:04.746Z
buy,9099.15,0.0,2018-04-24T04:24:04.755Z
buy,9066.15,0.0015,2018-04-24T04:24:04.761Z
buy,9208.65,42.60872948,2018-04-24T04:24:04.763Z
sell,9962.32,0.012209999999999999,2018-04-24T04:24:04.795Z
sell,9226.95,0.0,2018-04-24T04:24:04.796Z
buy,9165.01,0.0,2018-04-24T04:24:04.870Z
buy,9198.02,0.0,2018-04-24T04:24:04.893Z
buy,9132.01,0.0015,2018-04-24T04:24:04.902Z
buy,9099.17,0.0015,2018-04-24T04:24:04.905Z
buy,9066.17,0.0015,2018-04-24T04:24:04.923Z
buy,9165.01,0.0015,2018-04-24T04:24:04.940Z
buy,9203.7,0.0,2018-04-24T04:24:05.038Z
buy,9029.01,0.0,2018-04-24T04:24:05.039Z
buy,9126.01,0.24894000000000002,2018-04-24T04:24:05.040Z
buy,9029.0,0.055999999999999994,2018-04-24T04:24:05.048Z
sell,9500.0,107.50494193,2018-04-24T04:24:05.079Z
buy,9028.99,0.001,2018-04-24T04:24:05.110Z
buy,9066.17,0.0,2018-04-24T04:24:05.198Z
buy,9198.02,0.0015,2018-04-24T04:24:05.232Z
buy,9132.01,0.0,2018-04-24T04:24:05.252Z
buy,9165.01,0.0,2018-04-24T04:24:05.253Z
buy,9099.17,0.0,2018-04-24T04:24:05.254Z
buy,9066.17,0.0015,2018-04-24T04:24:05.260Z
buy,9198.02,0.0,2018-04-24T04:24:05.316Z
buy,9132.01,0.0015,2018-04-24T04:24:05.343Z
buy,9066.15,0.0,2018-04-24T04:24:05.363Z
buy,9165.01,0.0015,2018-04-24T04:24:05.392Z
buy,9208.64,6.12695755,2018-04-24T04:24:05.400Z
buy,9028.99,0.0,2018-04-24T04:24:05.405Z
buy,9029.0,0.057,2018-04-24T04:24:05.414Z
buy,9132.01,0.0,2018-04-24T04:24:05.414Z
buy,9099.17,0.0015,2018-04-24T04:24:05.420Z
buy,9066.17,0.0,2018-04-24T04:24:05.438Z
