side,price,size
sell,9308.54,2.387
sell,9308.55,0.0118
sell,9308.56,0.0075
sell,9309,0.11829791
sell,9309.02,0.001
sell,9309.63,0.03
sell,9309.71,0.6091957
sell,9310,36.02036
sell,9310.18,0.64836
sell,9310.21,0.0021831
sell,9310.33,0.007
sell,9310.41,0.91575247
sell,9310.43,0.05477728
sell,9311,0.001
sell,9311.12,0.1
sell,9311.18,0.0164
sell,9311.26,0.061
sell,9312,0.05543232
sell,9312.22,0.00165409
sell,9312.4,0.2
sell,9312.45,0.0482
sell,9313,30.501
sell,9313.4,0.0048297
sell,9314,0.009
sell,9314.64,0.03
sell,9315,0.102
sell,9315.16,0.001
sell,9315.29,0.00214701
sell,9315.67,0.007
sell,9316,0.22231164
sell,9316.15,0.00378
sell,9316.37,0.0101
sell,9316.95,0.00128653
sell,9317,0.16365859
sell,9317.09,0.01656513
sell,9317.16,0.001
sell,9317.18,0.015
sell,9317.24,0.01
sell,9317.43,0.1
sell,9317.46,0.134
sell,9317.82,0.015
sell,9318,0.509
sell,9318.09,0.0018437
sell,9318.57,0.0075
sell,9318.99,0.00100922
sell,9319,0.001
sell,9319.01,0.32780582
sell,9319.65,0.03
sell,9319.9,0.00123913
sell,9319.99,0.00246763
sell,9320,26.34940617
sell,9320.34,0.007
sell,9320.5,0.01887813
sell,9320.53,0.00546824
sell,9321,0.001
sell,9321.22,0.02958361
sell,9321.54,0.06532426
sell,9322,0.241
sell,9322.8,0.42992855
sell,9323,0.051
sell,9323.28,0.001
sell,9323.42,0.41170623
sell,9323.68,0.007
sell,9324,0.0035
sell,9324.04,0.09913647
sell,9324.33,0.00293325
sell,9324.45,0.003
sell,9324.66,0.03
sell,9324.99,0.01
sell,9325,1.07935704
sell,9325.26,0.00212299
sell,9325.92,0.01656513
sell,9326,0.001
sell,9327,0.051
sell,9327.84,0.003
sell,9328,0.021
sell,9328.58,0.0075
sell,9328.8,0.64836
sell,9328.83,0.02959523
sell,9329,1.001
sell,9329.67,0.13
sell,9330,34.81359369
sell,9330.35,0.007
sell,9330.64,0.015
sell,9330.73,0.0035
sell,9330.8,0.0025
sell,9330.83,0.00138071
sell,9330.88,0.00138071
sell,9331,0.001
sell,9331.69,0.007
sell,9331.82,1
sell,9332,0.001
sell,9332.2,0.06272866
sell,9333,2.00714044
sell,9333.11,0.06
sell,9333.3,0.006
sell,9333.33,1.14
sell,9333.34,0.00403858
sell,9333.42,0.0049
sell,9333.88,0.083
sell,9334,0.001
sell,9334.14,0.001
sell,9334.68,0.03
sell,9334.75,0.01656513
sell,9335,0.001
sell,9336,0.251
sell,9336.08,0.001
sell,9337,0.13391226
sell,9337.18,0.001
sell,9338,0.103
