side,price,size
buy,8965,0.11254489
buy,8964,0.001
buy,8963.7,0.05
buy,8963.49,0.05
buy,8963,0.001
buy,8962.86,0.05
buy,8962.42,0.05
buy,8962.34,0.001
buy,8962,0.001
buy,8961,2.75236882
buy,8960.29,0.00266046
buy,8960,1.78079337
buy,8959.9,0.02
buy,8959.07,1.001
buy,8959,0.121
buy,8958.89,0.5
buy,8958.58,0.01925569
buy,8958,0.041
buy,8957,0.0282
buy,8956.1,0.0558284
buy,8956.09,0.00531895
buy,8956,0.011
buy,8955.99,0.2334074
buy,8955.29,0.11546942
buy,8955.22,0.0335
buy,8955.02,0.0018766
buy,8955,5.64398866
buy,8954,0.009
buy,8953.68,0.1
buy,8953.26,29.48
buy,8953,0.001
buy,8952.92,0.9953
buy,8952.45,0.02
buy,8952.39,0.001
buy,8952.34,0.001
buy,8952,0.1879
buy,8951.88,0.05
buy,8951.75,0.25
buy,8951,0.04312008
buy,8950.67,0.00876
buy,8950.1,0.43
buy,8950.01,0.03
buy,8950,5.44826174
buy,8949.83,4.3
buy,8949.41,0.1
buy,8949.17,0.001
buy,8949.1,0.04570388
buy,8949.09,0.0026619
buy,8949,0.001
buy,8948.9,0.01478351
buy,8948,0.001
buy,8947.83,0.1
buy,8947,0.001
buy,8946.91,0.01
buy,8946.84,0.01
buy,8946.78,0.04
buy,8946,0.001
buy,8945.65,0.001
buy,8945.51,0.03
buy,8945,0.021
buy,8944.56,9.8384
buy,8944.33,0.001
buy,8944.01,0.001
buy,8944,0.001
buy,8943.35,0.001
buy,8943.33,0.05
buy,8943.21,0.00765441
buy,8943,0.001
buy,8942.35,0.001
buy,8942.22,0.20037259
buy,8942,0.001
buy,8941.35,0.001
buy,8941.3,0.001
buy,8941,0.0025808
buy,8940.35,0.001
buy,8940.2,0.00817781
buy,8940,0.18808659
buy,8939.35,0.001
buy,8939.07,0.01
buy,8939,0.191
buy,8938.29,0.001
buy,8938,2.151
buy,8937.63,0.1
buy,8937,0.15629135
buy,8936.96,0.001
buy,8936.09,0.004
buy,8936,0.001
buy,8935.99,0.01
buy,8935.89,0.01
buy,8935.55,0.03489014
buy,8935.2,0.01
buy,8935,0.15956537
buy,8934.99,0.01
buy,8934.12,0.10910999
buy,8934.01,0.001
buy,8934,3.51442374
buy,8933.62,0.00536113
buy,8933.55,0.1
buy,8933.03,0.0069
buy,8933,0.72318889
buy,8932.7,0.00223896
buy,8932.65,25.2
buy,8932.61,0.001
buy,8932.34,0.001
buy,8932,0.001
buy,8931.09,0.001
buy,8931,0.04578782
buy,8930.15,0.044
buy,8930,0.07539641
buy,8929,0.001
buy,8928.26,0.001
buy,8928,3.001
buy,8927.99,2
buy,8927.98,3
buy,8927.18,0.53
buy,8927.14,0.11040362
buy,8927,0.35063154
buy,8926.56,0.05
buy,8926.33,0.10485155
buy,8926,0.011
buy,8925.58,0.02521324
buy,8925.48,0.0018
buy,8925.01,0.03
buy,8925,0.46689256
buy,8924.5,0.34
buy,8924.09,0.05
buy,8924.01,0.001
