side,price,size,time
buy,9088.1,0.0,2018-04-24T04:07:49.007Z
buy,9153.35,0.0,2018-04-24T04:07:49.008Z
buy,9187.11,0.0015,2018-04-24T04:07:49.081Z
buy,9055.1,0.0015,2018-04-24T04:07:49.092Z
buy,9121.1,0.0015,2018-04-24T04:07:49.110Z
sell,10136.49,0.01,2018-04-24T04:07:49.113Z
buy,9187.11,0.0,2018-04-24T04:07:49.123Z
buy,9153.35,0.0015,2018-04-24T04:07:49.152Z
buy,9088.1,0.0015,2018-04-24T04:07:49.168Z
buy,9121.1,0.0,2018-04-24T04:07:49.179Z
buy,9193.46,0.0,2018-04-24T04:07:49.194Z
buy,9153.35,0.0,2018-04-24T04:07:49.196Z
buy,9121.09,0.0015,2018-04-24T04:07:49.257Z
buy,9055.1,0.0,2018-04-24T04:07:49.337Z
buy,9121.09,0.0,2018-04-24T04:07:49.339Z
buy,9088.1,0.0,2018-04-24T04:07:49.341Z
buy,9088.09,0.0015,2018-04-24T04:07:49.346Z
buy,9055.09,0.0015,2018-04-24T04:07:49.353Z
buy,9186.72,1.4545,2018-04-24T04:07:49.368Z
buy,9213.92,2.516,2018-04-24T04:07:49.398Z
buy,9088.09,0.0,2018-04-24T04:07:49.400Z
buy,9153.35,0.0015,2018-04-24T04:07:49.423Z
buy,9121.09,0.0015,2018-04-24T04:07:49.427Z
buy,9186.72,1.453,2018-04-24T04:07:49.482Z
buy,9088.09,0.0015,2018-04-24T04:07:49.516Z
buy,9212.0,0.001,2018-04-24T04:07:49.524Z
buy,9193.01,0.0,2018-04-24T04:07:49.540Z
buy,9193.88,1.51338687,2018-04-24T04:07:49.551Z
buy,9121.09,0.0,2018-04-24T04:07:49.552Z
buy,9175.78,0.0,2018-04-24T04:07:49.554Z
buy,9186.72,1.4545,2018-04-24T04:07:49.580Z
buy,8945.99,0.1,2018-04-24T04:07:49.634Z
buy,9186.72,1.453,2018-04-24T04:07:49.638Z
buy,8949.01,0.0,2018-04-24T04:07:49.640Z
buy,9153.35,0.0,2018-04-24T04:07:49.659Z
buy,9121.09,0.0015,2018-04-24T04:07:49.667Z
buy,9088.09,0.0,2018-04-24T04:07:49.721Z
sell,9227.44,0.0,2018-04-24T04:07:49.724Z
buy,9186.72,1.4545,2018-04-24T04:07:49.729Z
buy,8910.0,2.53545,2018-04-24T04:07:49.735Z
sell,9227.69,0.5,2018-04-24T04:07:49.741Z
buy,9153.35,0.0015,2018-04-24T04:07:49.751Z
buy,9121.09,0.0,2018-04-24T04:07:49.761Z
buy,9088.09,0.0015,2018-04-24T04:07:49.768Z
sell,9219.97,0.03551594,2018-04-24T04:07:49.815Z
buy,9153.35,0.0,2018-04-24T04:07:49.851Z
buy,9186.72,1.453,2018-04-24T04:07:49.871Z
buy,9121.09,0.0015,2018-04-24T04:07:49.879Z
buy,9153.35,0.0015,2018-04-24T04:07:49.900Z
buy,9195.26,0.0,2018-04-24T04:07:49.921Z
buy,9195.01,0.5,2018-04-24T04:07:49.938Z
sell,9236.51,0.0,2018-04-24T04:07:49.948Z
sell,9227.69,0.0,2018-04-24T04:07:49.960Z
sell,9227.44,0.5,2018-04-24T04:07:49.978Z
buy,9088.09,0.0,2018-04-24T04:07:49.980Z
sell,9236.5,0.005,2018-04-24T04:07:49.982Z
buy,9193.46,0.01,2018-04-24T04:07:49.983Z
buy,9186.31,0.0,2018-04-24T04:07:50.010Z
buy,9186.72,1.4545,2018-04-24T04:07:50.012Z
buy,9177.89,0.001,2018-04-24T04:07:50.060Z
buy,9121.09,0.0,2018-04-24T04:07:50.066Z
buy,9186.72,1.453,2018-04-24T04:07:50.087Z
buy,9153.35,0.0,2018-04-24T04:07:50.089Z
buy,9195.01,0.0,2018-04-24T04:07:50.092Z
sell,9227.44,0.0,2018-04-24T04:07:50.094Z
buy,9088.09,0.0015,2018-04-24T04:07:50.099Z
sell,9227.19,0.5,2018-04-24T04:07:50.114Z
buy,9194.76,0.5,2018-04-24T04:07:50.117Z
buy,9121.09,0.0015,2018-04-24T04:07:50.170Z
buy,9088.09,0.0,2018-04-24T04:07:50.194Z
buy,9121.09,0.0,2018-04-24T04:07:50.198Z
buy,9186.72,1.4545,2018-04-24T04:07:50.200Z
buy,9121.07,0.0015,2018-04-24T04:07:50.202Z
buy,9088.07,0.0015,2018-04-24T04:07:50.204Z
buy,9193.46,0.0,2018-04-24T04:07:50.240Z
buy,9193.46,0.01,2018-04-24T04:07:50.274Z
buy,9194.76,0.0,2018-04-24T04:07:50.303Z
sell,9214.99,28.48570921,2018-04-24T04:07:50.305Z
buy,9194.51,0.5,2018-04-24T04:07:50.323Z
buy,9121.07,0.0,2018-04-24T04:07:50.325Z
sell,9227.19,0.0,2018-04-24T04:07:50.338Z
buy,9186.72,1.453,2018-04-24T04:07:50.343Z
buy,9055.09,0.0,2018-04-24T04:07:50.345Z
buy,9088.07,0.0,2018-04-24T04:07:50.346Z
buy,9055.07,0.0015,2018-04-24T04:07:50.352Z
sell,9226.94,1.955,2018-04-24T04:07:50.359Z
buy,9153.35,0.0015,2018-04-24T04:07:50.375Z
buy,9055.07,0.0,2018-04-24T04:07:50.457Z
buy,9186.72,1.4545,2018-04-24T04:07:50.468Z
buy,9121.07,0.0015,2018-04-24T04:07:50.471Z
buy,9153.35,0.0,2018-04-24T04:07:50.483Z
buy,9088.07,0.0015,2018-04-24T04:07:50.506Z
buy,9186.72,1.453,2018-04-24T04:07:50.548Z
buy,9121.07,0.0,2018-04-24T04:07:50.554Z
buy,9088.07,0.0,2018-04-24T04:07:50.614Z
buy,9178.69,6.4,2018-04-24T04:07:50.654Z
buy,9055.07,0.0015,2018-04-24T04:07:50.656Z
buy,9153.35,0.0015,2018-04-24T04:07:50.658Z
buy,9186.72,1.4545,2018-04-24T04:07:50.661Z
buy,9055.07,0.0,2018-04-24T04:07:50.681Z
buy,9121.07,0.0015,2018-04-24T04:07:50.715Z
sell,9214.99,27.66590921,2018-04-24T04:07:50.989Z
buy,9214.94,5.10772792,2018-04-24T04:07:50.990Z
sell,9214.99,28.49570921,2018-04-24T04:07:51.009Z
buy,9214.98,9.96593919,2018-04-24T04:07:51.010Z
buy,9153.35,0.0,2018-04-24T04:07:51.025Z
buy,9186.72,1.453,2018-04-24T04:07:51.044Z
buy,9121.07,0.0,2018-04-24T04:07:51.047Z
buy,9055.07,0.0015,2018-04-24T04:07:51.054Z
buy,9088.07,0.0015,2018-04-24T04:07:51.056Z
sell,9232.01,0.09657075,2018-04-24T04:07:51.116Z
buy,9186.72,1.4545,2018-04-24T04:07:51.131Z
buy,9088.07,0.0,2018-04-24T04:07:51.155Z
buy,9121.07,0.0015,2018-04-24T04:07:51.163Z
buy,9186.72,1.453,2018-04-24T04:07:51.194Z
buy,9213.92,0.0,2018-04-24T04:07:51.217Z
buy,9153.35,0.0015,2018-04-24T04:07:51.219Z
buy,9193.46,0.0,2018-04-24T04:07:51.272Z
buy,9212.0,0.0026,2018-04-24T04:07:51.277Z
